date,daily_partial,daily_full,daily,daily_partial_child,daily_full_child,cumul_partial,cumul_full,cumul,cumul_partial_child,cumul_full_child,pfizer1,pfizer2,sinovac1,sinovac2,astra1,astra2,cansino,pending
29/7/2021,359575,217701,577276,848,11,13463874,6450722,19914596,2743,118,212093,41967,133642,162595,13793,13078,0,108
30/7/2021,329432,202388,531820,780,14,13793306,6653110,20446416,3523,132,168186,42715,146148,146623,15020,13023,0,105
31/7/2021,331717,206431,538148,906,8,14125023,6859541,20984564,4429,140,169927,49290,147346,144244,14357,12880,0,104
1/8/2021,306900,184743,491643,570,2,14431923,7044284,21476207,4999,142,155669,48709,138527,123124,12688,12850,0,76
2/8/2021,233052,250384,483436,604,31,14664975,7294668,21959643,5603,173,156563,71255,72411,165666,4036,13004,0,501
3/8/2021,250362,249465,499827,657,30,14915337,7544133,22459470,6260,203,178967,67666,67190,168501,4077,13190,0,236
4/8/2021,237714,271655,509369,601,16,15153051,7815788,22968839,6861,219,178530,78535,54814,179438,4353,13636,0,63
5/8/2021,230377,300156,530533,571,12,15383428,8115944,23499372,7432,231,164009,98839,61980,187600,4284,13678,0,143
6/8/2021,196265,264212,460477,433,33,15579693,8380156,23959849,7865,264,124401,93060,57343,156298,14474,14818,0,83
7/8/2021,195473,244536,440009,441,52,15775166,8624692,24399858,8306,316,109445,88819,63711,141192,22208,14503,0,131
8/8/2021,165153,238563,403716,51,58,15940319,8863255,24803574,8357,374,79355,93395,61839,130928,23924,13983,0,292
9/8/2021,195041,281342,476383,292,19,16135360,9144597,25279957,8649,393,98020,128125,59546,133425,37244,19673,0,350
10/8/2021,169064,200186,369250,531,5,16304424,9344783,25649207,9180,398,76682,69659,57998,112428,34342,18067,0,74
11/8/2021,236226,272986,509212,639,73,16540650,9617769,26158419,9819,471,100723,122240,92578,135054,42314,15607,0,696
12/8/2021,208256,331831,540087,303,32,16748906,9949600,26698506,10122,503,84611,165694,86306,144735,36513,21272,0,956
