date,state,daily
2021-02-26,Perlis,165
2021-02-26,Pulau Pinang,322
2021-02-26,Sabah,12
2021-02-26,Sarawak,1360
2021-02-26,Selangor,285
2021-02-26,Terengganu,11
2021-02-26,W.P. Kuala Lumpur,325
2021-02-26,W.P. Labuan,0
2021-02-26,W.P. Putrajaya,19
2021-02-27,Johor,2
2021-02-27,Kedah,38
2021-02-27,Kelantan,0
2021-02-27,Melaka,16
2021-02-27,Negeri Sembilan,1
2021-02-27,Pahang,1766
2021-02-27,Perak,244
2021-02-27,Perlis,3
2021-02-27,Pulau Pinang,6
2021-02-27,Sabah,563
2021-02-27,Sarawak,3639
2021-02-27,Selangor,79
2021-02-27,Terengganu,1
2021-02-27,W.P. Kuala Lumpur,224
2021-02-27,W.P. Labuan,136
2021-02-27,W.P. Putrajaya,6
2021-02-28,Johor,827
2021-02-28,Kedah,786
2021-02-28,Kelantan,162
2021-02-28,Melaka,0
2021-02-28,Negeri Sembilan,0
2021-02-28,Pahang,100
2021-02-28,Perak,134
2021-02-28,Perlis,0
2021-02-28,Pulau Pinang,12
2021-02-28,Sabah,465
2021-02-28,Sarawak,3164
2021-02-28,Selangor,66
2021-02-28,Terengganu,472
2021-02-28,W.P. Kuala Lumpur,150
2021-02-28,W.P. Labuan,363
2021-02-28,W.P. Putrajaya,1
2021-03-03,Johor,2069
2021-03-03,Kedah,1413
2021-03-03,Kelantan,3399
2021-03-03,Melaka,1099
2021-03-03,Negeri Sembilan,1215
2021-03-03,Pahang,1316
2021-03-03,Perak,1988
2021-03-03,Perlis,541
2021-03-03,Pulau Pinang,1105
2021-03-03,Sabah,300
2021-03-03,Sarawak,492
2021-03-03,Selangor,2122
2021-03-03,Terengganu,2274
2021-03-03,W.P. Kuala Lumpur,2580
2021-03-03,W.P. Labuan,297
2021-03-03,W.P. Putrajaya,483
2021-03-04,Johor,1691
2021-03-04,Kedah,447
2021-03-04,Kelantan,0
2021-03-04,Melaka,336
2021-03-04,Negeri Sembilan,21
2021-03-04,Pahang,2858
2021-03-04,Perak,2780
2021-03-04,Perlis,216
2021-03-04,Pulau Pinang,810
2021-03-04,Sabah,2575
2021-03-04,Sarawak,2928
2021-03-04,Selangor,2473
2021-03-04,Terengganu,0
2021-03-04,W.P. Kuala Lumpur,1
2021-03-04,W.P. Labuan,118
2021-03-04,W.P. Putrajaya,0
2021-03-05,Johor,6304
2021-03-05,Kedah,4715
2021-03-05,Kelantan,3592
2021-03-05,Melaka,1530
2021-03-05,Negeri Sembilan,2351
2021-03-05,Pahang,2406
2021-03-05,Perak,3211
2021-03-05,Perlis,559
2021-03-05,Pulau Pinang,2851
2021-03-05,Sabah,1998
2021-03-05,Sarawak,2574
2021-03-05,Selangor,7068
