date,state,cases_new
2021-07-28,W.P. Kuala Lumpur,2880
2021-07-28,W.P. Labuan,16
2021-07-28,W.P. Putrajaya,68
2021-07-29,Johor,1054
2021-07-29,Kedah,1212
2021-07-29,Kelantan,615
2021-07-29,Melaka,416
2021-07-29,Negeri Sembilan,884
2021-07-29,Pahang,638
2021-07-29,Perak,596
2021-07-29,Perlis,10
2021-07-29,Pulau Pinang,554
2021-07-29,Sabah,776
2021-07-29,Sarawak,582
2021-07-29,Selangor,7163
2021-07-29,Terengganu,437
2021-07-29,W.P. Kuala Lumpur,2138
2021-07-29,W.P. Labuan,11
2021-07-29,W.P. Putrajaya,84
2021-07-30,Johor,1104
2021-07-30,Kedah,1281
2021-07-30,Kelantan,656
2021-07-30,Melaka,581
2021-07-30,Negeri Sembilan,1079
2021-07-30,Pahang,540
2021-07-30,Perak,810
2021-07-30,Perlis,13
2021-07-30,Pulau Pinang,689
2021-07-30,Sabah,1066
2021-07-30,Sarawak,450
2021-07-30,Selangor,6092
2021-07-30,Terengganu,258
2021-07-30,W.P. Kuala Lumpur,2114
2021-07-30,W.P. Labuan,7
2021-07-30,W.P. Putrajaya,100
2021-07-31,Johor,1144
2021-07-31,Kedah,1389
2021-07-31,Kelantan,580
2021-07-31,Melaka,697
2021-07-31,Negeri Sembilan,929
2021-07-31,Pahang,653
2021-07-31,Perak,775
2021-07-31,Perlis,16
2021-07-31,Pulau Pinang,713
2021-07-31,Sabah,1035
2021-07-31,Sarawak,485
2021-07-31,Selangor,6400
2021-07-31,Terengganu,883
2021-07-31,W.P. Kuala Lumpur,1962
2021-07-31,W.P. Labuan,9
2021-07-31,W.P. Putrajaya,116
2021-08-03,Johor,120
2021-08-03,Kedah,9
2021-08-03,Kelantan,28
2021-08-03,Melaka,4
2021-08-03,Negeri Sembilan,89
2021-08-03,Pahang,3
2021-08-03,Perak,49
2021-08-03,Perlis,17
2021-08-03,Pulau Pinang,76
2021-08-03,Sabah,71
2021-08-03,Sarawak,252
2021-08-03,Selangor,726
2021-08-03,Terengganu,13
2021-08-03,W.P. Kuala Lumpur,71
2021-08-03,W.P. Labuan,0
2021-08-03,W.P. Putrajaya,1
2021-08-04,Johor,101
2021-08-04,Kedah,31
2021-08-04,Kelantan,87
2021-08-04,Melaka,11
2021-08-04,Negeri Sembilan,12
2021-08-04,Pahang,12
2021-08-04,Perak,24
2021-08-04,Perlis,1
2021-08-04,Pulau Pinang,162
2021-08-04,Sabah,106
2021-08-04,Sarawak,211
2021-08-04,Selangor,374
2021-08-04,Terengganu,11
2021-08-04,W.P. Kuala Lumpur,120
2021-08-04,W.P. Labuan,3
2021-08-04,W.P. Putrajaya,19
2021-08-05,Johor,288
2021-08-05,Kedah,183
2021-08-05,Kelantan,373
2021-08-05,Melaka,100
2021-08-05,Negeri Sembilan,98
2021-08-05,Pahang,99
2021-08-05,Perak,108
2021-08-05,Perlis,1
2021-08-05,Pulau Pinang,363
2021-08-05,Sabah,63
2021-08-05,Sarawak,479
2021-08-05,Selangor,1722
2021-08-05,Terengganu,71
2021-08-05,W.P. Kuala Lumpur,557
2021-08-05,W.P. Labuan,2
2021-08-05,W.P. Putrajaya,12
2021-08-06,Johor,456
2021-08-06,Kedah,148
2021-08-06,Kelantan,204
2021-08-06,Melaka,314
2021-08-06,Negeri Sembilan,505
2021-08-06,Pahang,157
2021-08-06,Perak,225
2021-08-06,Perlis,1
2021-08-06,Pulau Pinang,185
2021-08-06,Sabah,350
2021-08-06,Sarawak,707
2021-08-06,Selangor,1524
2021-08-06,Terengganu,106
2021-08-06,W.P. Kuala Lumpur,466
2021-08-06,W.P. Labuan,191
2021-08-06,W.P. Putrajaya,27
2021-08-07,Johor,336
2021-08-07,Kedah,360
2021-08-07,Kelantan,135
2021-08-07,Melaka,183
2021-08-07,Negeri Sembilan,897
2021-08-07,Pahang,152
2021-08-07,Perak,543
2021-08-07,Perlis,1
2021-08-07,Pulau Pinang,237
2021-08-07,Sabah,279
2021-08-07,Sarawak,281
2021-08-07,Selangor,4152
2021-08-07,Terengganu,68
2021-08-07,W.P. Kuala Lumpur,1133
2021-08-07,W.P. Labuan,64
2021-08-07,W.P. Putrajaya,47
2021-08-08,Johor,1308
2021-08-08,Kedah,1610
2021-08-08,Kelantan,870
2021-08-08,Melaka,526
2021-08-08,Negeri Sembilan,1140
2021-08-08,Pahang,602
2021-08-08,Perak,861
2021-08-08,Perlis,6
2021-08-08,Pulau Pinang,694
2021-08-08,Sabah,1379
2021-08-08,Sarawak,581
2021-08-08,Selangor,6565
2021-08-08,Terengganu,598
2021-08-08,W.P. Kuala Lumpur,1883
2021-08-08,W.P. Labuan,2
2021-08-08,W.P. Putrajaya,63
2021-08-09,Johor,1867
2021-08-09,Kedah,1564
2021-08-09,Kelantan,1471
2021-08-09,Melaka,375
2021-08-09,Negeri Sembilan,256
2021-08-09,Pahang,700
2021-08-09,Perak,1319
2021-08-09,Perlis,74
2021-08-09,Pulau Pinang,2474
2021-08-09,Sabah,2067
2021-08-09,Sarawak,3100
2021-08-09,Selangor,2989
2021-08-09,Terengganu,904
2021-08-09,W.P. Kuala Lumpur,537
2021-08-09,W.P. Labuan,7
2021-08-09,W.P. Putrajaya,29
2021-08-13,Johor,1485
2021-08-13,Kedah,1807
2021-08-13,Kelantan,1088
2021-08-13,Melaka,723
2021-08-13,Negeri Sembilan,974
2021-08-13,Pahang,572
2021-08-13,Perak,940
2021-08-13,Perlis,50
2021-08-13,Pulau Pinang,1316
2021-08-13,Sabah,1654
2021-08-13,Sarawak,715
2021-08-13,Selangor,7449
2021-08-13,Terengganu,440
2021-08-13,W.P. Kuala Lumpur,2183
2021-08-13,W.P. Labuan,6
2021-08-13,W.P. Putrajaya,66
2021-08-14,Johor,1425
2021-08-14,Kedah,1796
2021-08-14,Kelantan,1370
2021-08-14,Melaka,521
2021-08-14,Negeri Sembilan,727
2021-08-14,Pahang,794
2021-08-14,Perak,1003
2021-08-14,Perlis,61
2021-08-14,Pulau Pinang,1251
2021-08-14,Sabah,1752
2021-08-14,Sarawak,725
2021-08-14,Selangor,6606
2021-08-14,Terengganu,560
2021-08-14,W.P. Kuala Lumpur,2028
2021-08-14,W.P. Labuan,0
2021-08-14,W.P. Putrajaya,51
2021-08-15,Johor,1508
2021-08-15,Kedah,1596
2021-08-15,Kelantan,1025
2021-08-15,Melaka,631
2021-08-15,Negeri Sembilan,698
2021-08-15,Pahang,926
2021-08-15,Perak,1069
2021-08-15,Perlis,21
2021-08-15,Pulau Pinang,1111
2021-08-15,Sabah,1665
2021-08-15,Sarawak,963
2021-08-15,Selangor,7307
2021-08-15,Terengganu,534
2021-08-15,W.P. Kuala Lumpur,1442
2021-08-15,W.P. Labuan,3
2021-08-15,W.P. Putrajaya,47
2021-08-16,Johor,1510
2021-08-16,Kedah,1592
2021-08-16,Kelantan,1227
2021-08-16,Melaka,1120
2021-08-16,Negeri Sembilan,343
2021-08-16,Pahang,646
2021-08-16,Perak,938
2021-08-16,Perlis,20
2021-08-16,Pulau Pinang,1251
2021-08-16,Sabah,1728
2021-08-16,Sarawak,1566
2021-08-16,Selangor,5706
2021-08-16,Terengganu,688
2021-08-16,W.P. Kuala Lumpur,1360
2021-08-16,W.P. Labuan,2
2021-08-16,W.P. Putrajaya,43
2021-08-17,Johor,1309
2021-08-17,Kedah,1863
2021-08-17,Kelantan,1268
2021-08-17,Melaka,623
2021-08-17,Negeri Sembilan,490
2021-08-17,Pahang,670
2021-08-17,Perak,1101
2021-08-17,Perlis,37
2021-08-17,Pulau Pinang,1275
2021-08-17,Sabah,2103
